Komponist,Werkname,Satz_Nr,Kommentar,tapping_files,tapping_folder,recording_folder,Dirigent,Orchester,Aufnahmejahr,KWV,Product ID,auf GitHub?,Quelle,Kommentar,Takt von,Takt bis,,"Granularitäten Gl,j der Abschnitte Sl,j"
Richard Strauss,Don Juan Op. 20,0,,,,,Eugene Ormandy,Bayerisches Rundfunk-Sinfonieorchester,1959,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Richard Strauss,Bayerisches Rundfunk-Sinfonieorchester,1933,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Wilhelm Furtwängler ,Berliner Philharmoniker,1947,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,George Szell,Berliner Philharmoniker,1969,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Herbert von Karajan,Berliner Philharmoniker,1957,,,x,,Japan Live,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Herbert von Karajan,Berliner Philharmoniker,1972,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Herbert von Karajan,Berliner Philharmoniker,1983,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Riccardo Muti,Berliner Philharmoniker,1989,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Wilhelm Furtwängler ,Berliner Philharmoniker,1942,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Georg Solti,Chicago Symphony Orchestra,1973,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,George Szell,Cleveland Orchestra,1957,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Willem Mengelberg,Concertgebouw Orkest,1938,,,x,,Strich T306!,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Otto Klemperer,Köln Rundfunk-Sinfonieorchester,1956,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Karl Böhm,Köln Rundfunk-Sinfonieorrchester,1976,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Otto Klemperer,LA Philharmonic Orchestra,1945,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Arturo Toscanini,NBC Symphony Orchestra,1940,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,Arturo Toscanini,NBC Symphony Orchestra,1939,,,x,,,232,350,,GANZTAKTIK
Richard Strauss,Don Juan Op. 20,0,,,,,George Szell,New York Philharmonic Orchestra,1943,,,x,,,232,350,,GANZTAKTIK
